GeneID,GSM5009234,GSM5009235,GSM5009230,GSM5009243
100287102,4,4,2,5
653635,38,29,68,26
102466751,0,0,0,0
107985730,0,0,1,2
100302278,0,0,1,1
645520,0,1,0,1
79501,0,0,0,0
100996442,38,21,25,26
729737,62,15,48,70
102725121,3,3,1,6
102723897,38,33,87,35
102465909,0,0,0,0
107985721,0,0,1,1
112268260,21,12,9,30
729759,0,0,0,1
100132287,38,17,30,35
105378947,5,2,1,3
101928626,1,0,0,0
113219467,11766,11312,12470,7408
81399,3,2,3,5
100133331,35,20,35,36
107984841,6,4,3,5
107984847,11,6,2,2
107984849,0,0,1,1
100288069,21,5,21,12
105378580,29,43,87,61
400728,21,6,10,11
79854,40,11,30,18
643837,968,1159,1071,987
107984850,8,17,20,19
284593,10,3,6,8
284600,15,4,9,6
100130417,21,3,5,7
107985728,4,1,1,4
148398,171,136,229,230
26155,149,123,266,216
339451,21,8,30,29
84069,0,0,1,0
84808,0,0,0,0
57801,0,0,0,0
9636,24,20,47,21
375790,2,27,14,8
100288175,1,5,8,4
112267874,2,6,3,1
105378948,4,11,11,4
401934,0,0,0,0
54991,2,2,8,10
254099,0,0,0,0
406984,0,0,0,0
406983,0,0,0,0
554210,0,0,3,1
100506376,4,0,23,36
254173,0,0,9,4
8784,0,0,0,0
7293,0,0,1,1
51150,105,112,182,125
126792,76,33,79,63
388581,0,0,0,0
118424,36,56,134,67
101928895,0,2,0,2
6339,1,10,23,11
116983,57,32,129,49
102465434,0,0,0,0
109623456,0,0,2,0
126789,27,28,49,52
54973,91,128,236,181
102465435,0,0,1,2
80772,0,14,10,3
83756,3,3,6,9
1855,53,33,75,41
102466740,0,0,0,0
54587,16,23,28,22
54998,191,192,268,181
81669,1091,797,1649,1299
148413,338,256,262,264
55052,2026,1306,1370,1447
107984868,75,111,110,122
441869,174,241,428,257
105378585,3,2,8,3
643965,0,0,0,0
102724312,9,0,1,0
107985729,0,0,0,0
64856,117,99,237,129
219293,204,155,136,165
83858,52,31,77,43
55210,14,7,21,13
339453,0,2,1,1
29101,666,921,1065,839
643988,41,13,7,11
105378586,5,0,5,0
142678,466,425,499,443
8510,17,16,15,16
984,205,205,291,251
728661,854,542,720,786
8511,0,1,2,0
728642,321,219,214,312
9906,1179,792,672,693
112268218,19,17,28,24
65220,49,54,90,109
2782,1930,1602,1790,1932
105378949,17,0,11,2
163688,0,3,0,0
339456,7,15,0,1
85452,2,0,0,0
107984872,0,0,0,0
105378589,0,0,1,0
2563,0,0,1,0
105378590,0,0,0,0
105378591,0,0,0,5
5590,23,35,43,19
100506504,0,3,10,1
199990,57,65,105,60
112268219,29,16,19,12
105378593,0,0,0,0
